time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-08-10T04:12:15.810Z,-9.3438,158.0525,22,6.6,mww,,20,1.872,1.01,us,us100030pg,2016-11-10T21:49:31.686Z,"179km SW of Dadali, Solomon Islands",earthquake,6.7,1.5,,,reviewed,us,us
2015-07-27T21:41:21.710Z,-2.6286,138.5277,48,7,mww,,12,6.278,1.2,us,us200030kn,2016-11-10T21:49:11.129Z,"228km W of Abepura, Indonesia",earthquake,6.7,1.8,,,reviewed,us,us
2015-07-27T04:49:46.400Z,52.376,-169.4458,29,6.9,mww,,39,0.444,1.12,us,us200030aq,2016-11-10T21:49:08.886Z,"73km SSW of Nikolski, Alaska",earthquake,4.5,1.8,,,reviewed,us,us
2015-07-18T02:27:33.820Z,-10.4012,165.1409,11,7,mww,,22,5.205,1.09,us,us20002yaw,2016-11-10T21:48:58.547Z,"83km WNW of Lata, Solomon Islands",earthquake,7.2,1.7,,,reviewed,us,us
2015-07-16T15:16:33.780Z,13.8672,-58.5479,20,6.5,mww,,20,1.218,0.97,us,us20002xx1,2016-11-10T21:48:56.158Z,"127km NE of Bathsheba, Barbados",earthquake,3.3,1.8,,,reviewed,us,us
2015-07-10T04:12:42.540Z,-9.307,158.403,12,6.7,mww,,11,1.529,1.11,us,us20002whh,2016-11-10T21:48:50.416Z,"155km SSW of Dadali, Solomon Islands",earthquake,7.4,1.7,,,reviewed,us,us
2015-06-23T12:18:30.270Z,27.7375,139.7254,460,6.5,mww,,11,2.277,0.98,us,us10002l37,2016-11-10T21:48:17.734Z,"256km WNW of Chichi-shima, Japan",earthquake,8.6,1.9,,,reviewed,us,us
2015-06-17T12:51:32.790Z,-35.3639,-17.1605,10,7,mww,,34,21.859,1.16,us,us20002qn7,2016-11-10T21:48:09.620Z,"Southern Mid-Atlantic Ridge",earthquake,10.7,1.7,,,reviewed,us,us
2015-05-30T11:23:02.110Z,27.8386,140.4931,664,7.8,mww,,12,1.675,1.12,us,us20002ki3,2016-11-13T11:55:00.602Z,"189km WNW of Chichi-shima, Japan",earthquake,9.2,1.9,,,reviewed,us,us
2015-05-29T07:00:09.000Z,56.594,-156.43,72.6,6.7,ms,,,,0.85,ak,ak11610140,2016-11-10T21:47:45.424Z,"99km NNW of Chirikof Island, Alaska",earthquake,0.5,0.8,,,reviewed,ak,ak
2015-05-22T23:59:33.770Z,-11.1093,163.2154,10,6.8,mww,,18,3.619,0.81,us,us10002bpw,2016-11-10T21:47:39.788Z,"159km ESE of Kirakira, Solomon Islands",earthquake,7.6,1.7,,,reviewed,us,us
2015-05-22T21:45:19.480Z,-11.0559,163.6959,11.19,6.9,mww,,22,4.024,1.37,us,us10002bnk,2016-11-10T21:47:39.262Z,"205km ESE of Kirakira, Solomon Islands",earthquake,7.2,3.1,,,reviewed,us,us
2015-05-20T22:48:53.420Z,-10.8759,164.1694,11,6.8,mww,,15,4.395,0.72,us,us10002b03,2016-11-10T21:47:38.141Z,"182km W of Lata, Solomon Islands",earthquake,5.3,1.7,,,reviewed,us,us
2015-05-19T15:25:21.080Z,-54.3312,-132.1618,7.2,6.7,mww,,24,31.555,0.91,us,us10002aj3,2016-11-10T21:47:35.920Z,"Pacific-Antarctic Ridge",earthquake,10.3,3,,,reviewed,us,us
